City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Puerto Palomas,MX,79.93,clear sky,31.7667,-107.6167,Hotel San Carlos
8,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
12,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
14,Maragogi,BR,79.11,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
15,Hithadhoo,MV,82.31,broken clouds,-0.6,73.0833,Scoop Guest House
17,San Patricio,US,88.52,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
23,Tual,ID,83.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
27,Sungairaya,ID,76.42,broken clouds,0.7,108.9,Mess P.Milu
30,Acapulco,MX,75.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
32,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Jaisalmer,IN,75.06,clear sky,26.9147,70.9181,Hotel Fifu
34,Atambua,ID,76.6,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
35,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Sao Filipe,CV,79.65,clear sky,14.8961,-24.4956,Hotel Xaguate
41,San Angelo,US,88.65,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
50,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
54,Moussoro,TD,88.63,clear sky,13.6408,16.4901,Hôtel Maltina
56,Calamar,CO,85.95,overcast clouds,10.2511,-74.9146,Hostal Katyalex
57,Gwanda,ZW,81.93,overcast clouds,-20.9333,29.0,Mafax Homeways
58,Koumac,NC,76.73,clear sky,-20.5667,164.2833,Le Monitel
62,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
68,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Brus Laguna,HN,83.17,overcast clouds,15.75,-84.4833,
80,Butaritari,KI,81.16,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
84,Camacari,BR,78.57,overcast clouds,-12.6975,-38.3242,Hotel Cambuci
85,Cap Malheureux,MU,75.69,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
91,Gadung,PH,78.78,overcast clouds,6.8025,124.02,
99,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
104,Faanui,PF,77.74,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
109,Vanimo,PG,80.35,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
112,Pasni,PK,78.17,clear sky,25.2631,63.471,Kashmiri Hotal
117,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
123,Saint George,US,75.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
125,Aitape,PG,81.03,overcast clouds,-3.1374,142.3475,
127,Akyab,MM,75.06,overcast clouds,20.15,92.9,Hotel Memory
128,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
129,Bagotville,AU,80.42,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
133,Baturite,BR,79.21,broken clouds,-4.3286,-38.8847,Hotel Padre Cícero
136,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
138,Boca Raton,US,84.24,broken clouds,26.3587,-80.0831,Ocean Lodge Florida
139,Atuona,PF,78.44,few clouds,-9.8,-139.0333,Villa Enata
143,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
146,Sao Benedito Do Rio Preto,BR,77.45,light rain,-3.3336,-43.5283,João de Barro Hotel
153,Rincon,US,80.85,clear sky,32.296,-81.2354,Days Inn Rincon
155,Caucaia,BR,82.35,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
157,Bengkulu,ID,75.52,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
162,Am Timan,TD,76.6,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
163,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
168,Surt,LY,81.21,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
169,La Macarena,CO,81.93,broken clouds,2.1837,-73.7849,Hotel Punto Verde
176,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
177,Canatlan,MX,77.65,clear sky,24.5167,-104.7833,AUTOLAVADO El Negro
180,Sur,OM,80.71,clear sky,22.5667,59.5289,Sur Plaza Hotel
181,Umm Kaddadah,SD,86.43,scattered clouds,13.6017,26.6876,
183,Honiara,SB,84.94,scattered clouds,-9.4333,159.95,Heritage Park Hotel
185,Karangsembung,ID,78.17,overcast clouds,-6.8487,108.6422,MMH
190,Avera,US,78.67,clear sky,33.194,-82.5271,
194,Sorong,ID,80.17,overcast clouds,-0.8833,131.25,waigo splash hotel
195,Mackay,AU,80.69,overcast clouds,-21.15,149.2,International Lodge Motel
196,Aneho,TG,79.0,overcast clouds,6.2333,1.6,Hotel La Linette
199,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
203,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
208,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
210,Kalabo,ZM,78.39,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
211,Sao Geraldo Do Araguaia,BR,76.19,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
214,Nsanje,MW,80.35,clear sky,-16.92,35.262,Nsanje Discovery Lodge
215,Nioro,GM,81.37,broken clouds,13.35,-15.75,
220,Namatanai,PG,83.75,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
223,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
225,Santa Rita,BR,81.27,few clouds,-7.1139,-34.9781,Infinity Motel
227,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
234,Uvira,CD,75.81,few clouds,-3.4067,29.1458,Hotel Suzana
236,Gizo,SB,83.95,scattered clouds,-8.103,156.8419,Imagination Island
239,Roebourne,AU,80.35,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
241,Lazaro Cardenas,MX,81.34,overcast clouds,17.9583,-102.2,quinta antigua
245,Kirakira,SB,84.52,scattered clouds,-10.4544,161.9205,SanBiz Lodge
246,Guane,CU,81.7,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
248,Dingle,PH,75.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
251,Cayenne,GF,78.1,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
258,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
260,Pemangkat,ID,76.33,broken clouds,1.1667,108.9667,Ramah Kost KITA
267,Awbari,LY,81.39,broken clouds,26.5921,12.7805,فندق أوباري
273,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
276,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
281,Kavaratti,IN,80.62,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
288,Bandarbeyla,SO,77.29,few clouds,9.4942,50.8122,JABIR HOTEL
292,Lethem,GY,85.86,broken clouds,3.3803,-59.7968,Savannah Inn
298,Houston,US,84.65,thunderstorm,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
304,Valle Hermoso,MX,89.74,few clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
305,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
307,Brownsville,US,87.98,broken clouds,25.9018,-97.4975,University Inn & Suites
308,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
313,Meulaboh,ID,76.8,overcast clouds,4.1363,96.1285,Kost Pria
323,Puerto Carreno,CO,85.06,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
330,Manokwari,ID,79.11,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
333,Buchanan,LR,77.23,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
336,Lucea,JM,87.66,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
337,Pandamatenga,BW,77.31,light rain,-18.5278,25.627,Wildtrack Safaris Eco Lodge
342,Vaitape,PF,77.86,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
344,Anloga,GH,79.02,overcast clouds,5.7947,0.8973,Pin Drop Hotel
347,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
349,Semporna,MY,75.4,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
350,Livingstone,ZM,77.31,scattered clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
353,Dwarka,IN,80.6,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
355,Campos Belos,BR,81.25,overcast clouds,-13.0367,-46.7717,Pousada Carnaúba
364,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
365,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
369,Nabire,ID,76.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
371,Sokoni,TZ,77.29,clear sky,-6.4333,39.55,Ujamaa Beach Resort
378,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
380,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
382,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
385,Yarada,IN,79.12,mist,17.65,83.2667,Vishranti
386,Oussouye,SN,82.49,moderate rain,12.485,-16.5469,Auberge du Routard
391,Taoudenni,ML,85.48,clear sky,22.6783,-3.9836,
392,Kieta,PG,83.77,few clouds,-6.2167,155.6333,Uruna Bay Retreat
395,Santiago,CL,76.44,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
399,Urucui,BR,77.31,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
402,Araouane,ML,86.63,clear sky,18.9048,-3.5265,
403,Alugan,PH,79.68,overcast clouds,12.2188,125.4808,JM Lodge
405,Phalombe,MW,79.61,overcast clouds,-15.8064,35.6507,RIVONIA
410,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
411,Chinhoyi,ZW,78.89,broken clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
414,Bundaberg,AU,77.29,scattered clouds,-24.85,152.35,Takalvan Motel
419,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
420,Conceicao Do Araguaia,BR,77.83,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
