City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,57.81,67,75,6.91,broken clouds
1,Gardiner,US,44.2301,-69.7753,53.08,73,1,0.0,clear sky
2,Nanortalik,GL,60.1432,-45.2371,35.87,69,34,5.79,scattered clouds
3,Ribeira Grande,PT,38.5167,-28.7,67.32,68,21,13.13,few clouds
4,Kizukuri,JP,40.8061,140.3861,50.95,72,97,8.1,overcast clouds
5,Puerto Palomas,MX,31.7667,-107.6167,79.93,16,1,23.31,clear sky
6,Cherskiy,RU,68.75,161.3,-5.33,100,97,3.02,overcast clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,0,20.71,clear sky
8,Kununurra,AU,-15.7667,128.7333,76.98,94,2,5.75,clear sky
9,Te Anau,NZ,-45.4167,167.7167,51.08,95,100,0.45,light rain
10,Qaanaaq,GL,77.484,-69.3632,-1.44,58,0,8.63,clear sky
11,Richards Bay,ZA,-28.783,32.0377,69.6,68,87,20.49,overcast clouds
12,Vaini,TO,-21.2,-175.2,77.16,61,20,19.57,few clouds
13,Ushuaia,AR,-54.8,-68.3,33.46,93,75,29.93,heavy snow
14,Maragogi,BR,-9.0122,-35.2225,79.11,80,29,11.3,scattered clouds
15,Hithadhoo,MV,-0.6,73.0833,82.31,74,60,12.88,broken clouds
16,East London,ZA,-33.0153,27.9116,61.38,64,62,19.69,broken clouds
17,San Patricio,US,28.017,-97.5169,88.52,53,14,15.43,few clouds
18,Albany,US,42.6001,-73.9662,52.27,61,96,7.18,overcast clouds
19,Olavarria,AR,-36.8927,-60.3225,63.01,48,54,16.33,broken clouds
20,Amravati,IN,20.9333,77.75,68.23,66,38,2.53,scattered clouds
21,Yellowknife,CA,62.456,-114.3525,43.32,79,20,21.85,few clouds
22,Acajutla,SV,13.5928,-89.8275,95.34,76,75,5.1,broken clouds
23,Tual,ID,-5.6667,132.75,83.73,75,94,14.41,overcast clouds
24,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,40,16.11,scattered clouds
25,Hendaye,FR,43.3717,-1.7738,54.19,91,0,3.44,clear sky
26,Chokurdakh,RU,70.6333,147.9167,-2.0,98,100,6.38,overcast clouds
27,Sungairaya,ID,0.7,108.9,76.42,87,71,3.69,broken clouds
28,Rikitea,PF,-23.1203,-134.9692,74.88,82,97,20.09,overcast clouds
29,Carnarvon,AU,-24.8667,113.6333,62.67,88,0,9.22,clear sky
30,Acapulco,MX,16.8634,-99.8901,75.02,88,90,16.11,overcast clouds
31,Husavik,IS,66.0449,-17.3389,37.31,97,100,3.6,overcast clouds
32,Kapaa,US,22.0752,-159.319,82.38,75,40,4.0,scattered clouds
33,Jaisalmer,IN,26.9147,70.9181,75.06,55,0,18.07,clear sky
34,Atambua,ID,-9.1061,124.8925,76.6,80,48,2.26,scattered clouds
35,Mahebourg,MU,-20.4081,57.7,75.49,83,75,12.66,broken clouds
36,Cape Town,ZA,-33.9258,18.4232,58.26,75,20,1.01,few clouds
