City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mizdah,LY,2021-10-23 17:24:59,31.4451,12.9801,82.02,22,100,8.05
1,Erenhot,CN,2021-10-23 17:24:59,43.6475,111.9767,44.15,35,20,6.33
2,East London,ZA,2021-10-23 17:21:46,-33.0153,27.9116,63.54,59,0,24.16
3,Yellowknife,CA,2021-10-23 17:25:00,62.456,-114.3525,42.42,79,40,19.57
4,Busselton,AU,2021-10-23 17:25:00,-33.65,115.3333,54.09,83,17,6.91
5,Bathsheba,BB,2021-10-23 17:25:00,13.2167,-59.5167,88.41,62,40,24.16
6,Qaanaaq,GL,2021-10-23 17:25:01,77.484,-69.3632,-1.57,58,0,7.85
7,Muzhi,RU,2021-10-23 17:25:02,65.3667,64.6667,29.95,75,61,14.14
8,New Norfolk,AU,2021-10-23 17:25:03,-42.7826,147.0587,51.66,82,100,5.99
9,Barrow,US,2021-10-23 17:23:04,71.2906,-156.7887,30.22,86,90,13.8
10,Bodo,NO,2021-10-23 17:25:04,67.28,14.405,33.84,72,40,16.11
11,Xiuyan,CN,2021-10-23 17:25:05,40.2928,123.2744,43.99,66,0,1.34
12,Changji,CN,2021-10-23 17:25:05,44.0167,87.3167,39.99,87,0,2.24
13,Bambous Virieux,MU,2021-10-23 17:25:06,-20.3428,57.7575,75.45,78,40,10.36
14,Leningradskiy,RU,2021-10-23 17:25:07,69.3833,178.4167,9.03,88,100,8.88
15,Bredasdorp,ZA,2021-10-23 17:25:07,-34.5322,20.0403,58.32,72,78,10.36
16,Salinopolis,BR,2021-10-23 17:25:08,-0.6136,-47.3561,85.68,66,100,9.66
17,Oksfjord,NO,2021-10-23 17:25:08,70.2396,22.3479,34.72,96,100,8.95
18,Tukrah,LY,2021-10-23 17:25:09,32.5341,20.5791,75.9,53,2,11.16
19,Albany,US,2021-10-23 17:23:32,42.6001,-73.9662,54.81,59,63,1.01
20,Saint George,US,2021-10-23 17:21:42,37.1041,-113.5841,72.07,26,1,1.01
21,Puerto Ayora,EC,2021-10-23 17:25:09,-0.7393,-90.3518,76.96,79,92,9.95
22,Clarence Town,AU,2021-10-23 17:25:09,-32.5833,151.7833,65.34,97,32,4.63
23,Bluff,NZ,2021-10-23 17:25:10,-46.6,168.3333,52.7,86,100,3.31
24,Tasiilaq,GL,2021-10-23 17:25:10,65.6145,-37.6368,33.96,87,100,5.12
25,Ishigaki,JP,2021-10-23 17:25:10,24.3448,124.1572,76.48,65,98,16.15
26,La Asuncion,VE,2021-10-23 17:25:09,11.0333,-63.8628,94.73,52,71,20.71
27,Jamestown,US,2021-10-23 17:21:23,42.097,-79.2353,50.09,82,90,4.0
28,Bethel,US,2021-10-23 17:25:11,41.3712,-73.414,58.48,61,90,6.91
29,Chokurdakh,RU,2021-10-23 17:25:11,70.6333,147.9167,-4.54,94,100,5.61
30,Hermanus,ZA,2021-10-23 17:25:12,-34.4187,19.2345,58.89,69,68,9.44
31,Teknaf,BD,2021-10-23 17:25:12,20.8624,92.3058,75.43,85,92,3.62
32,Port Alfred,ZA,2021-10-23 17:25:12,-33.5906,26.891,62.01,66,32,31.85
33,Bereda,ES,2021-10-23 17:25:13,43.2686,-7.5406,61.57,76,100,2.26
34,Falmouth,GB,2021-10-23 17:25:13,50.1544,-5.0711,55.98,76,90,13.8
35,Hilo,US,2021-10-23 17:22:46,19.7297,-155.09,73.26,96,90,5.75
36,Barentu,ER,2021-10-23 17:25:13,15.1139,37.5928,83.71,32,63,12.03
37,Hofn,IS,2021-10-23 17:25:14,64.2539,-15.2082,44.8,95,100,6.85
38,Punta Arenas,CL,2021-10-23 17:25:14,-53.15,-70.9167,42.91,81,75,39.12
39,Hun,LY,2021-10-23 17:25:14,29.1268,15.9477,86.94,16,76,10.47
40,Ramacca,IT,2021-10-23 17:25:15,37.3881,14.6927,73.02,90,98,5.1
41,Coihaique,CL,2021-10-23 17:25:15,-45.5752,-72.0662,52.41,40,40,16.11
42,Fort Abbas,PK,2021-10-23 17:25:16,29.1925,72.8536,78.71,54,16,5.21
43,Tokur,RU,2021-10-23 17:25:16,53.1333,132.9,28.54,96,90,4.03
44,Labuhan,ID,2021-10-23 17:25:16,-6.8844,112.2051,80.51,77,93,9.15
45,Berzasca,RO,2021-10-23 17:25:17,44.6476,21.9526,51.98,70,100,5.59
46,Palmer,US,2021-10-23 17:25:17,42.1584,-72.3287,59.25,56,20,3.0
